spkid,full_name,name
2007092,"  7092 Cadmus (1992 LC)",Cadmus
2007236,"  7236 (1987 PA)",
2007335,"  7335 (1989 JA)",
2007336,"  7336 Saunders (1989 RS1)",Saunders
2007341,"  7341 (1991 VK)",
2007350,"  7350 (1993 VA)",
2007358,"  7358 Oze (1995 YA3)",Oze
2007474,"  7474 (1992 TC)",
2007480,"  7480 Norwan (1994 PC)",Norwan
2007482,"  7482 (1994 PC1)",
2007753,"  7753 (1988 XB)",
2007822,"  7822 (1991 CS)",
2007839,"  7839 (1994 ND)",
2007888,"  7888 (1993 UC)",
2007889,"  7889 (1994 LX)",
2007977,"  7977 (1977 QQ5)",
2008013,"  8013 Gordonmoore (1990 KA)",Gordonmoore
2008014,"  8014 (1990 MF)",
2008034,"  8034 Akka (1992 LR)",Akka
2008035,"  8035 (1992 TB)",
2008037,"  8037 (1993 HO1)",
2008176,"  8176 (1991 WA)",
2008201,"  8201 (1994 AH2)",
2008507,"  8507 (1991 CB1)",
2008566,"  8566 (1996 EN)",
2008567,"  8567 (1996 HW1)",
2008709,"  8709 Kadlu (1994 JF1)",Kadlu
2009058,"  9058 (1992 JB)",
2009162,"  9162 Kwiila (1987 OA)",Kwiila
2009172,"  9172 Abhramu (1989 OB)",Abhramu
2009202,"  9202 (1993 PB)",
2009400,"  9400 (1994 TW1)",
2009856,"  9856 (1991 EE)",
2009950,"  9950 ESA (1990 VB)",ESA
2010115," 10115 (1992 SK)",
2010145," 10145 (1994 CK1)",
2010150," 10150 (1994 PN)",
2010165," 10165 (1995 BL2)",
2010302," 10302 (1989 ML)",
2010563," 10563 Izhdubar (1993 WD)",Izhdubar
2010636," 10636 (1998 QK56)",
2010860," 10860 (1995 LE)",
2011054," 11054 (1991 FA)",
2011066," 11066 Sigurd (1992 CC1)",Sigurd
2011284," 11284 Belenus (1990 BA)",Belenus
2011311," 11311 Peleus (1993 XN2)",Peleus
2011398," 11398 (1998 YP11)",
2011405," 11405 (1999 CV3)",
2011500," 11500 Tomaiyowit (1989 UR)",Tomaiyowit
2011885," 11885 Summanus (1990 SS)",Summanus
2012538," 12538 (1998 OH)",
2012711," 12711 Tukmit (1991 BB)",Tukmit
2012923," 12923 Zephyr (1999 GK4)",Zephyr
2013553," 13553 Masaakikoyama (1992 JE)",Masaakikoyama
2013651," 13651 (1997 BR)",
2014402," 14402 (1991 DB)",
2014827," 14827 Hypnos (1986 JK)",Hypnos
2015745," 15745 Yuliya (1991 PM5)",Yuliya
2015817," 15817 Lucianotesi (1994 QC)",Lucianotesi
2016064," 16064 Davidharvey (1999 RH27)",Davidharvey
2016636," 16636 (1993 QP)",
2016657," 16657 (1993 UB)",
2016816," 16816 (1997 UF9)",
2016834," 16834 (1997 WU22)",
2016912," 16912 Rhiannon (1998 EP8)",Rhiannon
2016960," 16960 (1998 QS52)",
2017181," 17181 (1999 UM3)",
2017182," 17182 (1999 VU)",
2017188," 17188 (1999 WC2)",
2017274," 17274 (2000 LC16)",
2017511," 17511 (1992 QN)",
2018106," 18106 Blume (2000 NX3)",Blume
2018109," 18109 (2000 NG11)",
2018172," 18172 (2000 QL7)",
2018736," 18736 (1998 NU)",
2018882," 18882 (1999 YN4)",
2019356," 19356 (1997 GH3)",
2019764," 19764 (2000 NF5)",
2020086," 20086 (1994 LW)",
2020236," 20236 (1998 BZ7)",
2020255," 20255 (1998 FX2)",
2020425," 20425 (1998 VD35)",
2020429," 20429 (1998 YN1)",
2020460," 20460 Robwhiteley (1999 LO28)",Robwhiteley
2020790," 20790 (2000 SE45)",
2020826," 20826 (2000 UV13)",
2021088," 21088 Chelyabinsk (1992 BL2)",Chelyabinsk
2021277," 21277 (1996 TO5)",
2021374," 21374 (1997 WS22)",
2022099," 22099 (2000 EX106)",
2022753," 22753 (1998 WT)",
2022771," 22771 (1999 CU3)",
2023183," 23183 (2000 OY21)",
2023187," 23187 (2000 PN9)",
2023548," 23548 (1994 EF2)",
2023606," 23606 (1996 AS1)",
2023714," 23714 (1998 EC3)",
2024443," 24443 (2000 OG)",
2024445," 24445 (2000 PM8)",
2024475," 24475 (2000 VN2)",
2024761," 24761 Ahau (1993 BW2)",Ahau
2025143," 25143 Itokawa (1998 SF36)",Itokawa
2025330," 25330 (1999 KV4)",
2025916," 25916 (2001 CP44)",
2026166," 26166 (1995 QN3)",
2026310," 26310 (1998 TX6)",
2026379," 26379 (1999 HZ1)",
2026663," 26663 (2000 XK47)",
2026760," 26760 (2001 KP41)",
2026817," 26817 (1987 QB)",
2027002," 27002 (1998 DV9)",
2027031," 27031 (1998 RO4)",
2027346," 27346 (2000 DN8)",
2029075," 29075 (1950 DA)",
2030825," 30825 (1990 TG1)",
2030997," 30997 (1995 UO5)",
2031210," 31210 (1998 BX7)",
2031221," 31221 (1998 BP26)",
2031345," 31345 (1998 PG)",
2031346," 31346 (1998 PB1)",
2031662," 31662 (1999 HP11)",
2031669," 31669 (1999 JT6)",
2032906," 32906 (1994 RH)",
2033342," 33342 (1998 WT24)",
2034613," 34613 (2000 UR13)",
2035107," 35107 (1991 VH)",
2035396," 35396 (1997 XF11)",
2035432," 35432 (1998 BG9)",
2035670," 35670 (1998 SU27)",
2036017," 36017 (1999 ND43)",
2036183," 36183 (1999 TX16)",
2036236," 36236 (1999 VV)",
2036284," 36284 (2000 DM8)",
2037336," 37336 (2001 RM)",
2037638," 37638 (1993 VB)",
2037655," 37655 Illapa (1994 PM)",Illapa
2038071," 38071 (1999 GU3)",
2038086," 38086 Beowolf (1999 JB)",Beowolf
2038091," 38091 (1999 JT3)",
2038239," 38239 (1999 OR3)",
2039565," 39565 (1992 SL)",
2039572," 39572 (1993 DQ1)",
2039796," 39796 (1997 TD)",
2040263," 40263 (1999 FQ5)",
2040267," 40267 (1999 GJ4)",
2040329," 40329 (1999 ML)",
2041429," 41429 (2000 GE2)",
2041440," 41440 (2000 HZ23)",
2042286," 42286 (2001 TN41)",
2048603," 48603 (1995 BC2)",
2052340," 52340 (1992 SY)",
2052381," 52381 (1993 HA)",
2052387," 52387 (1993 OM7)",
2052689," 52689 (1998 FF2)",
2052750," 52750 (1998 KK17)",
2052760," 52760 (1998 ML14)",
2052761," 52761 (1998 MN14)",
2052762," 52762 (1998 MT24)",
2052768," 52768 (1998 OR2)",
2053110," 53110 (1999 AR7)",
2053319," 53319 (1999 JM8)",
2053409," 53409 (1999 LU7)",
2053426," 53426 (1999 SL5)",
2053429," 53429 (1999 TF5)",
2053430," 53430 (1999 TY16)",
2053435," 53435 (1999 VM40)",
2053550," 53550 (2000 BF19)",
2053789," 53789 (2000 ED104)",
2054071," 54071 (2000 GQ146)",
2054401," 54401 (2000 LM)",
2054509," 54509 YORP (2000 PH5)",YORP
2054660," 54660 (2000 UJ1)",
2054686," 54686 (2001 DU8)",
2054690," 54690 (2001 EB)",
2054789," 54789 (2001 MZ7)",
2055408," 55408 (2001 TC2)",
2055532," 55532 (2001 WG2)",
2065674," 65674 (1988 SM)",
2065679," 65679 (1989 UQ)",
2065690," 65690 (1991 DG)",
2065706," 65706 (1992 NA)",
2065717," 65717 (1993 BX3)",
2065733," 65733 (1993 PC)",
2065803," 65803 Didymos (1996 GT)",Didymos
2065909," 65909 (1998 FH12)",
2065996," 65996 (1998 MX5)",
2066008," 66008 (1998 QH2)",
2066063," 66063 (1998 RO1)",
2066146," 66146 (1998 TU3)",
2066251," 66251 (1999 GJ2)",
2066253," 66253 (1999 GT3)",
2066272," 66272 (1999 JW6)",
2066391," 66391 (1999 KW4)",
2066400," 66400 (1999 LT7)",
2066407," 66407 (1999 LQ28)",
2066959," 66959 (1999 XO35)",
2067367," 67367 (2000 LY27)",
2067381," 67381 (2000 OL8)",
2067399," 67399 (2000 PJ6)",
2068031," 68031 (2000 YK29)",
2068063," 68063 (2000 YJ66)",
2068216," 68216 (2001 CV26)",
2068267," 68267 (2001 EA16)",
2068278," 68278 (2001 FC7)",
2068346," 68346 (2001 KZ66)",
2068347," 68347 (2001 KB67)",
2068348," 68348 (2001 LO7)",
2068350," 68350 (2001 MK3)",
2068359," 68359 (2001 OZ13)",
2068372," 68372 (2001 PM9)",
2068548," 68548 (2001 XR31)",
2068950," 68950 (2002 QF15)",
2069230," 69230 Hermes (1937 UB)",Hermes
2085182," 85182 (1991 AQ)",
2085184," 85184 (1991 JG1)",
2085236," 85236 (1993 KH)",
2085275," 85275 (1994 LY)",
2085490," 85490 (1997 SE5)",
2085585," 85585 Mjolnir (1998 FG2)",Mjolnir
2085628," 85628 (1998 KV2)",
2085640," 85640 (1998 OX4)",
2085709," 85709 (1998 SG36)",
2085713," 85713 (1998 SS49)",
2085770," 85770 (1998 UP1)",
2085774," 85774 (1998 UT18)",
2085804," 85804 (1998 WQ5)",
2085818," 85818 (1998 XM4)",
2085839," 85839 (1998 YO4)",
2085867," 85867 (1999 BY9)",
2085938," 85938 (1999 DJ4)",
2085953," 85953 (1999 FK21)",
2085989," 85989 (1999 JD6)",
2085990," 85990 (1999 JV6)",
2086039," 86039 (1999 NC43)",
2086067," 86067 (1999 RM28)",
2086324," 86324 (1999 WA2)",
2086326," 86326 (1999 WK13)",
2086450," 86450 (2000 CK33)",
2086666," 86666 (2000 FL10)",
2086667," 86667 (2000 FO10)",
2086819," 86819 (2000 GK137)",
2086829," 86829 (2000 GR146)",
2086878," 86878 (2000 HD24)",
2087024," 87024 (2000 JS66)",
2087025," 87025 (2000 JT66)",
2087309," 87309 (2000 QP)",
2087311," 87311 (2000 QJ1)",
2087684," 87684 (2000 SY2)",
2088188," 88188 (2000 XH44)",
2088213," 88213 (2001 AF2)",
2088254," 88254 (2001 FM129)",
2088263," 88263 (2001 KQ1)",
2088264," 88264 (2001 KN20)",
2088710," 88710 (2001 SL9)",
2088959," 88959 (2001 TZ44)",
2089136," 89136 (2001 US16)",
2089355," 89355 (2001 VS78)",
2089830," 89830 (2002 CE)",
2089958," 89958 (2002 LY45)",
2089959," 89959 (2002 NT7)",
2090075," 90075 (2002 VU94)",
2090147," 90147 (2002 YK14)",
2090367," 90367 (2003 LC5)",
2090373," 90373 (2003 SZ219)",
2090403," 90403 (2003 YE45)",
2090416," 90416 (2003 YK118)",
2096189," 96189 Pygmalion (1991 NT3)",Pygmalion
2096315," 96315 (1997 AP10)",
2096536," 96536 (1998 SO10)",
2096590," 96590 (1998 XB)",
2096631," 96631 (1999 FP59)",
2096744," 96744 (1999 OW3)",
2097725," 97725 (2000 GB147)",
2098943," 98943 (2001 CC21)",
2099248," 99248 (2001 KY66)",
2099799," 99799 (2002 LJ3)",
2099907," 99907 (1989 VA)",
2099935," 99935 (2002 AV4)",
2099942," 99942 Apophis (2004 MN4)",Apophis
2100004,"100004 (1983 VA)",
2100085,"100085 (1992 UY4)",
2100756,"100756 (1998 FM5)",
2100926,"100926 (1998 MQ)",
2101869,"101869 (1999 MM)",
2101873,"101873 (1999 NC5)",
2101955,"101955 Bennu (1999 RQ36)",Bennu
2102873,"102873 (1999 WK11)",
2103067,"103067 (1999 XA143)",
2105140,"105140 (2000 NL10)",
2105141,"105141 (2000 NF11)",
2106538,"106538 (2000 WK63)",
2106589,"106589 (2000 WN107)",
2108519,"108519 (2001 LF)",
2108906,"108906 (2001 PL9)",
2111253,"111253 (2001 XU10)",
2112221,"112221 (2002 KH4)",
2112985,"112985 (2002 RS28)",
2115052,"115052 (2003 RD6)",
2136564,"136564 (1977 VA)",
2136582,"136582 (1992 BA)",
2136617,"136617 (1994 CC)",
2136618,"136618 (1994 CN2)",
2136635,"136635 (1994 VA1)",
2136745,"136745 (1995 WL8)",
2136770,"136770 (1996 PC1)",
2136773,"136773 (1996 TR6)",
2136793,"136793 (1997 AQ18)",
2136795,"136795 (1997 BQ)",
2136818,"136818 Selqet (1997 MW1)",Selqet
2136839,"136839 (1997 WT22)",
2136849,"136849 (1998 CS1)",
2136874,"136874 (1998 FH74)",
2136897,"136897 (1998 HJ41)",
2136900,"136900 (1998 HL49)",
2136923,"136923 (1998 JH2)",
2136993,"136993 (1998 ST49)",
2137032,"137032 (1998 UO1)",
2137044,"137044 (1998 UC50)",
2137052,"137052 Tjelvar (1998 VO33)",Tjelvar
2137062,"137062 (1998 WM)",
2137064,"137064 (1998 WP5)",
2137078,"137078 (1998 XZ4)",
2137084,"137084 (1998 XS16)",
2137099,"137099 (1998 YW3)",
2137108,"137108 (1999 AN10)",
2137120,"137120 (1999 BJ8)",
2137125,"137125 (1999 CT3)",
2137126,"137126 (1999 CF9)",
2137158,"137158 (1999 FB)",
2137170,"137170 (1999 HF1)",
2137175,"137175 (1999 JA11)",
2137199,"137199 (1999 KX4)",
2137427,"137427 (1999 TF211)",
2137671,"137671 (1999 XP35)",
2137799,"137799 (1999 YB)",
2137802,"137802 (1999 YT)",
2137805,"137805 (1999 YK5)",
2137911,"137911 (2000 AB246)",
2137924,"137924 (2000 BD19)",
2137925,"137925 (2000 BJ19)",
2138013,"138013 (2000 CN101)",
2138095,"138095 (2000 DK79)",
2138127,"138127 (2000 EE14)",
2138155,"138155 (2000 ES70)",
2138175,"138175 (2000 EE104)",
2138205,"138205 (2000 EZ148)",
2138258,"138258 (2000 GD2)",
2138325,"138325 (2000 GO82)",
2138359,"138359 (2000 GX127)",
2138404,"138404 (2000 HA24)",
2138524,"138524 (2000 OJ8)",
2138727,"138727 (2000 SU180)",
2138815,"138815 (2000 TQ64)",
2138846,"138846 (2000 VJ61)",
2138847,"138847 (2000 VE62)",
2138852,"138852 (2000 WN10)",
2138859,"138859 (2000 WN63)",
2138877,"138877 (2000 XG47)",
2138883,"138883 (2000 YL29)",
2138893,"138893 (2000 YH66)",
2138911,"138911 (2001 AE2)",
2138925,"138925 (2001 AU43)",
2138937,"138937 (2001 BK16)",
2138947,"138947 (2001 BA40)",
2138971,"138971 (2001 CB21)",
2139047,"139047 (2001 EB16)",
2139056,"139056 (2001 FY)",
2139211,"139211 (2001 GN2)",
2139289,"139289 (2001 KR1)",
2139345,"139345 (2001 KA67)",
2139359,"139359 (2001 ME1)",
2139622,"139622 (2001 QQ142)",
2140039,"140039 (2001 SO73)",
2140158,"140158 (2001 SX169)",
2140288,"140288 (2001 SN289)",
2140333,"140333 (2001 TD2)",
2140928,"140928 (2001 VG75)",
2141018,"141018 (2001 WC47)",
2141052,"141052 (2001 XR1)",
2141053,"141053 (2001 XT1)",
2141056,"141056 (2001 XV4)",
2141078,"141078 (2001 XQ30)",
2141079,"141079 (2001 XS30)",
2141354,"141354 (2002 AJ29)",
2141424,"141424 (2002 CD)",
2141432,"141432 (2002 CQ11)",
2141447,"141447 (2002 CW59)",
2141484,"141484 (2002 DB4)",
2141495,"141495 (2002 EZ11)",
2141498,"141498 (2002 EZ16)",
2141525,"141525 (2002 FV5)",
2141526,"141526 (2002 FA6)",
2141527,"141527 (2002 FG7)",
2141531,"141531 (2002 GB)",
2141593,"141593 (2002 HK12)",
2141614,"141614 (2002 JV15)",
2141670,"141670 (2002 JS100)",
2141761,"141761 (2002 MC)",
2141765,"141765 (2002 MP3)",
2141851,"141851 (2002 PM6)",
2141874,"141874 (2002 PO34)",
2142040,"142040 (2002 QE15)",
2142348,"142348 (2002 RX211)",
2142464,"142464 (2002 TC9)",
2142555,"142555 (2002 TB58)",
2142561,"142561 (2002 TX68)",
2142563,"142563 (2002 TR69)",
2142781,"142781 (2002 UM11)",
2143381,"143381 (2003 BC21)",
2143404,"143404 (2003 BD44)",
2143409,"143409 (2003 BQ46)",
2143487,"143487 (2003 CR20)",
2143527,"143527 (2003 EN16)",
2143624,"143624 (2003 HM16)",
2143637,"143637 (2003 LP6)",
2143643,"143643 (2003 NP7)",
2143649,"143649 (2003 QQ47)",
2143651,"143651 (2003 QO104)",
2143678,"143678 (2003 SA224)",
2143947,"143947 (2003 YQ117)",
2143992,"143992 (2004 AF)",
2144332,"144332 (2004 DV24)",
2144411,"144411 (2004 EW9)",
2144861,"144861 (2004 LA12)",
2144898,"144898 (2004 VD17)",
2144900,"144900 (2004 VG64)",
2144901,"144901 (2004 WG1)",
2144922,"144922 (2005 CK38)",
2145656,"145656 (4788 P-L)",
2152558,"152558 (1990 SA)",
2152560,"152560 (1991 BN)",
2152561,"152561 (1991 RB)",
2152563,"152563 (1992 BF)",
2152564,"152564 (1992 HF)",
2152575,"152575 (1994 GY)",
2152637,"152637 (1997 NC1)",
2152664,"152664 (1998 FW4)",
2152667,"152667 (1998 FR11)",
2152671,"152671 (1998 HL3)",
2152679,"152679 (1998 KU2)",
2152680,"152680 (1998 KJ9)",
2152685,"152685 (1998 MZ)",
2152742,"152742 (1998 XE12)",
2152754,"152754 (1999 GS6)",
2152756,"152756 (1999 JV3)",
2152770,"152770 (1999 RR28)",
2152787,"152787 (1999 TB10)",
2152828,"152828 (1999 VT25)",
2152889,"152889 (2000 CF59)",
2152895,"152895 (2000 CQ101)",
2152931,"152931 (2000 EA107)",
2152941,"152941 (2000 FM10)",
2152942,"152942 (2000 FN10)",
2152952,"152952 (2000 GC2)",
2152964,"152964 (2000 GP82)",
2152978,"152978 (2000 GJ147)",
2153002,"153002 (2000 JG5)",
2153195,"153195 (2000 WB1)",
2153201,"153201 (2000 WO107)",
2153219,"153219 (2000 YM29)",
2153220,"153220 (2000 YN29)",
2153243,"153243 (2001 AU47)",
2153249,"153249 (2001 BW15)",
2153267,"153267 (2001 CB32)",
2153271,"153271 (2001 CL42)",
2153306,"153306 (2001 JL1)",
2153311,"153311 (2001 MG1)",
2153315,"153315 (2001 NH6)",
2153349,"153349 (2001 PJ9)",
2153415,"153415 (2001 QP153)",
2153460,"153460 (2001 RN)",
2153591,"153591 (2001 SN263)",
2153792,"153792 (2001 VH75)",
2153814,"153814 (2001 WN5)",
2153842,"153842 (2001 XT30)",
2153951,"153951 (2002 AC3)",
2153953,"153953 (2002 AD9)",
2153957,"153957 (2002 AB29)",
2153958,"153958 (2002 AM31)",
2154007,"154007 (2002 BY)",
2154019,"154019 (2002 CZ9)",
2154020,"154020 (2002 CA10)",
2154029,"154029 (2002 CY46)",
2154035,"154035 (2002 CV59)",
2154144,"154144 (2002 FA5)",
2154229,"154229 (2002 JN97)",
2154244,"154244 (2002 KL6)",
2154268,"154268 (2002 RM129)",
2154269,"154269 (2002 SM)",
2154275,"154275 (2002 SR41)",
2154276,"154276 (2002 SY50)",
2154278,"154278 (2002 TB9)",
2154300,"154300 (2002 UO)",
2154302,"154302 (2002 UQ3)",
2154330,"154330 (2002 VX94)",
2154347,"154347 (2002 XK4)",
2154453,"154453 (2003 CJ11)",
2154555,"154555 (2003 HA)",
2154589,"154589 (2003 MX2)",
2154590,"154590 (2003 MA3)",
2154631,"154631 (2003 WO25)",
2154652,"154652 (2004 EP20)",
2154656,"154656 (2004 FE3)",
2154658,"154658 (2004 FA18)",
2154715,"154715 (2004 LB6)",
2154807,"154807 (2004 PP97)",
2154988,"154988 (2004 XN35)",
2154991,"154991 Vinciguerra (2005 BX26)",Vinciguerra
2154993,"154993 (2005 EA94)",
2155110,"155110 (2005 TB)",
2155140,"155140 (2005 UD)",
2155334,"155334 (2006 DZ169)",
2155336,"155336 (2006 GA1)",
2155338,"155338 (2006 MZ1)",
2155340,"155340 (2006 SK198)",
2155341,"155341 (2006 SA218)",
2159368,"159368 (1979 QB)",
2159399,"159399 (1998 UL1)",
2159402,"159402 (1999 AP10)",
2159454,"159454 (2000 DJ8)",
2159459,"159459 (2000 KB)",
2159467,"159467 (2000 QK25)",
2159495,"159495 (2000 UV16)",
2159504,"159504 (2000 WO67)",
2159518,"159518 (2001 FF7)",
2159533,"159533 (2001 HH31)",
2159555,"159555 (2001 SJ276)",
2159560,"159560 (2001 TO103)",
2159608,"159608 (2002 AC2)",
2159609,"159609 (2002 AQ3)",
2159635,"159635 (2002 CZ46)",
2159677,"159677 (2002 HQ11)",
2159686,"159686 (2002 LB6)",
2159699,"159699 (2002 PQ142)",
2159856,"159856 (2004 JW6)",
2159857,"159857 (2004 LJ1)",
2159923,"159923 (2004 YJ32)",
2159928,"159928 (2005 CV69)",
2159929,"159929 (2005 UK)",
2161989,"161989 Cacus (1978 CA)",Cacus
2161995,"161995 (1983 LB)",
2161998,"161998 (1988 PA)",
2161999,"161999 (1989 RC)",
2162000,"162000 (1990 OS)",
2162004,"162004 (1991 VE)",
2162011,"162011 Konnohmaru (1994 AB1)",Konnohmaru
2162015,"162015 (1994 TF2)",
2162038,"162038 (1996 DH)",
2162039,"162039 (1996 JG)",
2162058,"162058 (1997 AE12)",
2162063,"162063 (1997 EH29)",
2162080,"162080 (1998 DG16)",
2162082,"162082 (1998 HL1)",
2162116,"162116 (1998 SA15)",
2162117,"162117 (1998 SD15)",
2162120,"162120 (1998 SH36)",
2162142,"162142 (1998 VR)",
2162149,"162149 (1998 YQ11)",
2162157,"162157 (1999 CV8)",
2162161,"162161 (1999 DK3)",
2162162,"162162 (1999 DB7)",
2162168,"162168 (1999 GT6)",
2162173,"162173 Ryugu (1999 JU3)",Ryugu
2162181,"162181 (1999 LF6)",
2162183,"162183 (1999 NB5)",
2162186,"162186 (1999 OP3)",
2162195,"162195 (1999 RK45)",
2162196,"162196 (1999 RL45)",
2162210,"162210 (1999 SM5)",
2162214,"162214 (1999 TC10)",
2162215,"162215 (1999 TL12)",
2162269,"162269 (1999 VO6)",
2162273,"162273 (1999 VL12)",
2162361,"162361 (2000 AF6)",
2162385,"162385 (2000 BM19)",
2162416,"162416 (2000 EH26)",
