spkid,full_name,name
2368565,"368565 (2004 FE5)",
2368664,"368664 (2005 JA22)",
2368790,"368790 (2005 XK8)",
2368949,"368949 (2006 YN)",
2369057,"369057 (2008 DK5)",
2369264,"369264 (2009 MS)",
2369296,"369296 (2009 SU19)",
2369452,"369452 (2010 LG14)",
2369454,"369454 (2010 NZ1)",
2369983,"369983 (1998 QB28)",
2369984,"369984 (1998 QR52)",
2369986,"369986 (1998 SO)",
2370037,"370037 (2000 SV20)",
2370061,"370061 (2000 YO29)",
2370307,"370307 (2002 RH52)",
2370688,"370688 (2004 GD28)",
2370702,"370702 (2004 NC9)",
2371336,"371336 (2006 KD1)",
2371660,"371660 (2007 CN26)",
2371973,"371973 (2008 GE1)",
2373135,"373135 (2011 SD173)",
2373393,"373393 (1972 RB)",
2373428,"373428 (1999 TC5)",
2373503,"373503 (2001 CK42)",
2373579,"373579 (2002 AW11)",
2374038,"374038 (2004 HW)",
2374158,"374158 (2004 UL)",
2374188,"374188 (2005 AD3)",
2374267,"374267 (2005 LW)",
2374449,"374449 (2005 XD1)",
2374851,"374851 (2006 VV2)",
2374855,"374855 (2006 VQ13)",
2375054,"375054 (2007 PF6)",
2375103,"375103 (2007 TD71)",
2375505,"375505 (2008 UN90)",
2375657,"375657 (2009 CP5)",
2376707,"376707 (1995 OO)",
2376729,"376729 (1998 YB8)",
2376775,"376775 (2000 HW23)",
2376778,"376778 (2000 JY8)",
2376788,"376788 (2000 RV37)",
2376848,"376848 (2001 RY47)",
2376864,"376864 (2001 TP103)",
2376879,"376879 (2001 WW1)",
2376883,"376883 (2001 XE1)",
2377097,"377097 (2002 WQ4)",
2377732,"377732 (2005 XJ8)",
2377972,"377972 (2006 MF10)",
2378124,"378124 (2006 VT2)",
2378160,"378160 (2006 WX1)",
2378358,"378358 (2007 LD)",
2378526,"378526 (2007 VH186)",
2378610,"378610 (2008 FT6)",
2378842,"378842 (2008 TD4)",
2380128,"380128 (1997 WB21)",
2380160,"380160 (2000 JO78)",
2380188,"380188 (2000 WC67)",
2380205,"380205 (2001 CA32)",
2380321,"380321 (2002 HF8)",
2380359,"380359 (2002 TN30)",
2380455,"380455 (2003 UL3)",
2380476,"380476 (2003 YO1)",
2380524,"380524 (2004 GY)",
2380636,"380636 (2004 XN14)",
2380818,"380818 (2005 YV128)",
2380929,"380929 (2006 HU30)",
2380981,"380981 (2006 SU131)",
2381181,"381181 (2007 LV19)",
2381564,"381564 (2008 UW5)",
2381677,"381677 (2009 BJ81)",
2381906,"381906 (2010 CL19)",
2381989,"381989 (2010 HR80)",
2382395,"382395 (1990 SM)",
2382406,"382406 (1996 AJ1)",
2382459,"382459 (2000 ST20)",
2382503,"382503 (2001 RE8)",
2382625,"382625 (2002 PC130)",
2382745,"382745 (2003 CC)",
2382758,"382758 (2003 GY)",
2382825,"382825 (2003 XB22)",
2382875,"382875 (2004 KE1)",
2383610,"383610 (2007 JJ35)",
2385186,"385186 (1994 AW1)",
2385252,"385252 (2001 EB18)",
2385268,"385268 (2001 RC12)",
2385343,"385343 (2002 LV)",
2385402,"385402 (2002 WZ2)",
2385423,"385423 (2003 DE6)",
2385497,"385497 (2004 DD)",
2385580,"385580 (2004 XO14)",
2385605,"385605 (2005 EJ225)",
2385843,"385843 (2006 JY25)",
2386259,"386259 (2008 EJ1)",
2386281,"386281 (2008 RJ1)",
2386298,"386298 (2008 SR7)",
2386454,"386454 (2008 XM)",
2386504,"386504 (2009 BP58)",
2386720,"386720 (2009 XC2)",
2386847,"386847 (2010 LR33)",
2387505,"387505 (1998 KN3)",
2387648,"387648 (2002 RT25)",
2387668,"387668 (2002 SZ)",
2387717,"387717 (2003 DN4)",
2387733,"387733 (2003 GS)",
2387746,"387746 (2003 MH4)",
2387793,"387793 (2003 WL25)",
2387816,"387816 (2004 FM17)",
2387871,"387871 (2004 RD252)",
2388185,"388185 (2006 CX10)",
2388188,"388188 (2006 DP14)",
2388189,"388189 (2006 DS14)",
2388468,"388468 (2007 DB83)",
2388567,"388567 (2007 QX14)",
2388798,"388798 (2008 BU2)",
2388838,"388838 (2008 EZ5)",
2388945,"388945 (2008 TZ3)",
2389694,"389694 (2011 QD48)",
2390522,"390522 (1996 GD1)",
2390536,"390536 (1999 KK1)",
2390725,"390725 (2003 HB)",
2390929,"390929 (2005 GP21)",
2391033,"391033 (2005 TR15)",
2391151,"391151 (2005 YY93)",
2391211,"391211 (2006 HZ51)",
2391275,"391275 (2006 SJ134)",
2391449,"391449 (2007 FL1)",
2391451,"391451 (2007 FE20)",
2391508,"391508 (2007 RV17)",
2392211,"392211 (2009 TG10)",
2392476,"392476 (2011 GD3)",
2392704,"392704 (2012 AE1)",
2393359,"393359 (1998 ME3)",
2393569,"393569 (2003 JC13)",
2393908,"393908 (2005 UH3)",
2394130,"394130 (2006 HY51)",
2394155,"394155 (2006 QS)",
2394392,"394392 (2007 EP88)",
2394783,"394783 (2008 HD3)",
2395143,"395143 (2010 CN1)",
2395207,"395207 (2010 HQ80)",
2395289,"395289 (2011 BJ2)",
2396593,"396593 (2001 HC)",
2396730,"396730 (2003 KX16)",
2396793,"396793 (2004 JN2)",
2396794,"396794 (2004 KT)",
2397237,"397237 (2006 KZ112)",
2397326,"397326 (2006 TC1)",
2397471,"397471 (2007 LV)",
2397474,"397474 (2007 PP6)",
2397847,"397847 (2008 TA1)",
2398188,"398188 (2010 LE15)",
2399307,"399307 (1991 RJ2)",
2399308,"399308 (1993 GD)",
2399325,"399325 (1999 GY5)",
2399433,"399433 (2001 YK4)",
2399446,"399446 (2002 GF1)",
2399457,"399457 (2002 PD43)",
2399611,"399611 (2004 BE11)",
2399774,"399774 (2005 NB7)",
2401856,"401856 (2000 KW43)",
2401857,"401857 (2000 PG3)",
2401885,"401885 (2001 RV17)",
2401925,"401925 (2002 AT15)",
2401954,"401954 (2002 RW25)",
2401998,"401998 (2003 MO)",
2403039,"403039 (2008 AE)",
2403247,"403247 (2008 XO2)",
2403775,"403775 (2011 HS4)",
2404108,"404108 (2012 SF51)",
2405189,"405189 (2003 BO1)",
2405212,"405212 (2003 QC10)",
2405427,"405427 (2004 ST9)",
2405562,"405562 (2005 OJ3)",
2405762,"405762 (2005 YO180)",
2406213,"406213 (2007 AB2)",
2406952,"406952 (2009 KJ)",
2407324,"407324 (2010 OB101)",
2407338,"407338 (2010 RQ30)",
2407653,"407653 (2011 QF3)",
2407656,"407656 (2011 SL102)",
2408751,"408751 (1987 SF3)",
2408752,"408752 (1991 TB2)",
2408792,"408792 (2000 GF2)",
2408869,"408869 (2001 SD348)",
2408980,"408980 (2002 RB126)",
2408982,"408982 (2002 SP)",
2409204,"409204 (2003 WX25)",
2409256,"409256 (2004 HO1)",
2409266,"409266 (2004 RK9)",
2409342,"409342 (2004 XM35)",
2409836,"409836 (2006 QY110)",
2409934,"409934 (2006 UG64)",
2410088,"410088 (2007 EJ)",
2410195,"410195 (2007 RT147)",
2410622,"410622 (2008 QF)",
2410627,"410627 (2008 RG1)",
2410649,"410649 (2008 SO)",
2410650,"410650 (2008 SQ1)",
2410777,"410777 (2009 FD)",
2410778,"410778 (2009 FG19)",
2410832,"410832 (2009 QO8)",
2411165,"411165 (2010 DF1)",
2411201,"411201 (2010 LJ14)",
2411280,"411280 (2010 SL13)",
2411611,"411611 (2011 QF14)",
2411655,"411655 (2011 WW4)",
2412976,"412976 (1987 WC)",
2412977,"412977 (1990 UO)",
2412983,"412983 (1996 FO3)",
2412995,"412995 (1999 LP28)",
2413002,"413002 (1999 VG22)",
2413021,"413021 (2000 SY162)",
2413038,"413038 (2001 MF1)",
2413091,"413091 (2001 UV16)",
2413123,"413123 (2001 XS1)",
2413192,"413192 (2002 VY94)",
2413216,"413216 (2003 MA)",
2413260,"413260 (2003 TL4)",
2413421,"413421 (2004 VA15)",
2413563,"413563 (2005 TG45)",
2413577,"413577 (2005 UL5)",
2413820,"413820 (2006 QR89)",
2413989,"413989 (2007 EL88)",
2414286,"414286 (2008 OC6)",
2414287,"414287 (2008 OB9)",
2414429,"414429 (2009 DC43)",
2414532,"414532 (2009 SM103)",
2414586,"414586 (2009 UV18)",
2414746,"414746 (2010 EH20)",
2414772,"414772 (2010 OC103)",
2414800,"414800 (2010 SV3)",
2414903,"414903 (2010 XT45)",
2414960,"414960 (2011 CS4)",
2414990,"414990 (2011 EM51)",
2415027,"415027 (2011 SG5)",
2415029,"415029 (2011 UL21)",
2415267,"415267 (2013 BQ45)",
2415710,"415710 (1998 WC2)",
2415711,"415711 (1998 WT7)",
2415713,"415713 (1998 XX2)",
2415715,"415715 (1999 AU23)",
2415745,"415745 (2000 GV147)",
2415746,"415746 (2000 JN10)",
2415752,"415752 (2000 OB22)",
2415949,"415949 (2001 XY10)",
2415986,"415986 (2002 AT5)",
2415987,"415987 (2002 AE9)",
2416002,"416002 (2002 BN)",
2416032,"416032 (2002 EX11)",
2416071,"416071 (2002 NV)",
2416151,"416151 (2002 RQ25)",
2416186,"416186 (2002 TD60)",
2416195,"416195 (2002 TR190)",
2416217,"416217 (2002 VD118)",
2416224,"416224 (2002 XM90)",
2416231,"416231 (2003 AJ73)",
2416283,"416283 (2003 MM)",
2416567,"416567 (2004 EB)",
2416584,"416584 (2004 JB12)",
2416591,"416591 (2004 LC2)",
2416675,"416675 (2004 XJ3)",
2416680,"416680 (2004 XD50)",
2416694,"416694 (2004 YR32)",
2416801,"416801 (2005 GC120)",
2416804,"416804 (2005 GP128)",
2416851,"416851 (2005 MM13)",
2417167,"417167 (2005 WH57)",
2417201,"417201 (2005 XM4)",
2417210,"417210 (2005 XV77)",
2417211,"417211 (2005 XL80)",
2417217,"417217 (2005 YS)",
2417264,"417264 (2006 AT2)",
2417419,"417419 (2006 KL21)",
2417581,"417581 (2006 VA3)",
2417612,"417612 (2006 WQ29)",
2417634,"417634 (2006 XG1)",
2417655,"417655 (2006 YF13)",
2417816,"417816 (2007 FA)",
2417871,"417871 (2007 MB24)",
2417874,"417874 (2007 NC5)",
2417949,"417949 (2007 TB23)",
2418094,"418094 (2007 WV4)",
2418135,"418135 (2008 AG33)",
2418198,"418198 (2008 CN70)",
2418233,"418233 (2008 DV)",
2418265,"418265 (2008 EA32)",
2418416,"418416 (2008 LV16)",
2418797,"418797 (2008 VF)",
2418846,"418846 (2008 WJ60)",
2418849,"418849 (2008 WM64)",
2418896,"418896 (2009 AK15)",
2418900,"418900 (2009 BE2)",
2418929,"418929 (2009 DM1)",
2419022,"419022 (2009 QF31)",
2419464,"419464 (2010 CC180)",
2419472,"419472 (2010 DW1)",
2419624,"419624 (2010 SO16)",
2419829,"419829 (2010 XK52)",
2419880,"419880 (2011 AH37)",
2419922,"419922 (2011 BJ24)",
2420048,"420048 (2011 DL19)",
2420187,"420187 (2011 GA55)",
2420210,"420210 (2011 HF)",
2420262,"420262 (2011 KD11)",
2420286,"420286 (2011 RZ)",
2420302,"420302 (2011 XZ1)",
2420591,"420591 (2012 HF31)",
2420738,"420738 (2012 TS)",
2422637,"422637 (1985 WA)",
2422638,"422638 (1994 CB)",
2422659,"422659 (1998 LD)",
2422686,"422686 (2000 AC6)",
2422699,"422699 (2000 PD3)",
2422787,"422787 (2001 WS1)",
2422977,"422977 (2003 MV7)",
2423022,"423022 (2003 TJ2)",
2423100,"423100 (2004 BX1)",
2423210,"423210 (2004 RD84)",
2423321,"423321 (2005 ED318)",
2423709,"423709 (2006 BQ6)",
2423747,"423747 (2006 CX)",
2424089,"424089 (2007 DU103)",
2424392,"424392 (2007 YJ)",
2424482,"424482 (2008 DG5)",
2424532,"424532 (2008 EZ97)",
2424965,"424965 (2009 AM15)",
2424969,"424969 (2009 BT5)",
2425047,"425047 (2009 QE8)",
2425250,"425250 (2009 WG54)",
2425450,"425450 (2010 EV45)",
2425713,"425713 (2011 BK24)",
2425755,"425755 (2011 CP4)",
2426071,"426071 (2012 CD29)",
2426082,"426082 (2012 DG31)",
2427499,"427499 (2002 CZ58)",
2427621,"427621 (2003 UN12)",
2427643,"427643 (2003 VF1)",
2427684,"427684 (2004 DH2)",
2427778,"427778 (2005 BE)",
2428086,"428086 (2006 NM)",
2428209,"428209 (2006 VC)",
2428223,"428223 (2006 WW)",
2428681,"428681 (2008 JA8)",
2428694,"428694 (2008 OS9)",
2429073,"429073 (2009 ND1)",
2429094,"429094 (2009 SG2)",
2429382,"429382 (2010 NW117)",
2429389,"429389 (2010 PR10)",
2429584,"429584 (2011 EU29)",
2429733,"429733 (2011 LX10)",
2429736,"429736 (2011 MB2)",
2429746,"429746 (2011 SA16)",
2430439,"430439 (2000 LF6)",
2430440,"430440 (2000 OH)",
2430544,"430544 (2002 GM2)",
2430552,"430552 (2002 HU11)",
2430802,"430802 (2004 XK4)",
2430804,"430804 (2005 AD13)",
2431107,"431107 (2006 GU)",
2431394,"431394 (2007 FS35)",
2431698,"431698 (2008 ES)",
2431760,"431760 (2008 HE)",
2431775,"431775 (2008 JO24)",
2431776,"431776 (2008 JQ24)",
2432226,"432226 (2009 HU2)",
2432509,"432509 (2010 FF7)",
2432655,"432655 (2010 XL69)",
2433303,"433303 (2013 NX)",
2433939,"433939 (1995 DW1)",
2433953,"433953 (1997 XR2)",
2433960,"433960 (1999 JU6)",
2433992,"433992 (2000 HD74)",
2434007,"434007 (2000 VH61)",
2434051,"434051 (2001 UW16)",
2434053,"434053 (2001 UP27)",
2434096,"434096 (2002 GO5)",
2434154,"434154 (2002 SL)",
2434188,"434188 (2003 AD23)",
2434196,"434196 (2003 HG2)",
2434313,"434313 (2004 GP)",
2434326,"434326 (2004 JG6)",
2434344,"434344 (2004 RV10)",
2434500,"434500 (2005 SB71)",
2434632,"434632 (2005 WE)",
2434633,"434633 (2005 WB1)",
2434677,"434677 (2006 BZ7)",
2434734,"434734 (2006 FX)",
2434740,"434740 (2006 GZ)",
2434751,"434751 (2006 HV57)",
2434786,"434786 (2006 PW)",
2435058,"435058 (2006 XG2)",
2435138,"435138 (2007 GD49)",
2435159,"435159 (2007 LQ19)",
2435302,"435302 (2007 US6)",
2435404,"435404 (2008 AT28)",
2435441,"435441 (2008 DJ5)",
2435548,"435548 (2008 QT3)",
2435730,"435730 (2008 UK90)",
2436030,"436030 (2009 JO2)",
2436035,"436035 (2009 KJ22)",
2436037,"436037 (2009 NJ)",
2436094,"436094 (2009 SC229)",
2436116,"436116 (2009 TB3)",
2436324,"436324 (2010 GZ6)",
2436325,"436325 (2010 GR7)",
2436329,"436329 (2010 GX62)",
2436568,"436568 (2011 HB53)",
2436654,"436654 (2011 RR12)",
2436671,"436671 (2011 SV71)",
2436724,"436724 (2011 UW158)",
2436761,"436761 (2012 DN)",
2436763,"436763 (2012 FN52)",
2436764,"436764 (2012 FB57)",
2436771,"436771 (2012 JG11)",
2436774,"436774 (2012 KY3)",
2436775,"436775 (2012 LC1)",
2437316,"437316 (2013 OS3)",
2437841,"437841 (1998 HD14)",
2437844,"437844 (1999 MN)",
2437846,"437846 (1999 RJ27)",
2437879,"437879 (2001 RX11)",
2437905,"437905 (2001 XU30)",
2437908,"437908 (2001 XW266)",
2437965,"437965 (2003 AL73)",
2437994,"437994 (2003 UL12)",
2438017,"438017 (2003 YO3)",
2438105,"438105 (2005 GO22)",
2438107,"438107 (2005 GY110)",
2438116,"438116 (2005 NX44)",
2438317,"438317 (2006 JX)",
2438429,"438429 (2006 WN1)",
2438430,"438430 (2006 WL3)",
2438452,"438452 (2007 AS12)",
2438661,"438661 (2008 EP6)",
2438897,"438897 (2009 WN)",
2438902,"438902 (2009 WF104)",
2438908,"438908 (2009 XO)",
2438955,"438955 (2010 LN14)",
2438990,"438990 (2010 SG13)",
2439313,"439313 (2012 VE82)",
2439437,"439437 (2013 NK4)",
2439854,"439854 (1998 XA5)",
2439877,"439877 (1999 XM141)",
2439889,"439889 (2000 PG5)",
2439898,"439898 (2000 TG2)",
2439908,"439908 (2000 XH47)",
2440012,"440012 (2002 LE27)",
2440212,"440212 (2004 OB)",
2441058,"441058 (2007 PH25)",
2441103,"441103 (2007 SP6)",
2441304,"441304 (2008 AU26)",
2441641,"441641 (2008 WZ13)",
2441823,"441823 (2009 QO5)",
2441825,"441825 (2009 SK1)",
2441952,"441952 (2010 LR68)",
2441987,"441987 (2010 NY65)",
2442037,"442037 (2010 PR66)",
2442177,"442177 (2010 XC24)",
2442243,"442243 (2011 MD11)",
2442523,"442523 (2011 WU95)",
2442559,"442559 (2012 AU10)",
2442605,"442605 (2012 HY33)",
2442609,"442609 (2012 KU42)",
2442742,"442742 (2012 WP3)",
2443103,"443103 (2013 WT67)",
2443104,"443104 (2013 XK22)",
2443806,"443806 (1998 FL3)",
2443837,"443837 (2000 TJ1)",
2443880,"443880 (2001 UZ16)",
2443923,"443923 (2002 RU25)",
2443972,"443972 (2003 TN1)",
2444004,"444004 (2004 AS1)",
2444185,"444185 (2005 SR1)",
2444193,"444193 (2005 SE71)",
2444584,"444584 (2006 UK)",
2444627,"444627 (2006 WU)",
2444628,"444628 (2006 WQ1)",
2444935,"444935 (2008 CQ1)",
2445025,"445025 (2008 NS1)",
2445267,"445267 (2009 SD229)",
2445305,"445305 (2010 DM56)",
2445775,"445775 (2011 YA)",
2445830,"445830 (2012 CL19)",
2445974,"445974 (2013 BJ18)",
2446789,"446789 (1998 FN9)",
2446791,"446791 (1998 SJ70)",
2446804,"446804 (1999 VN6)",
2446826,"446826 (2001 PE1)",
2446833,"446833 (2001 RB12)",
2446862,"446862 (2001 VB76)",
2446924,"446924 (2002 VV17)",
2446935,"446935 (2002 XZ38)",
2446938,"446938 (2002 YQ5)",
2446955,"446955 (2003 SC11)",
2446963,"446963 (2003 TK)",
2447221,"447221 (2005 UO5)",
2447655,"447655 (2006 WA)",
2447755,"447755 (2007 JX2)",
2447795,"447795 (2007 TH19)",
2447903,"447903 (2007 XJ20)",
2447977,"447977 (2008 CC119)",
2448003,"448003 (2008 DE)",
2448628,"448628 (2010 VF1)",
2448721,"448721 (2011 BN24)",
2448724,"448724 (2011 BB45)",
2448818,"448818 (2011 UU20)",
2448972,"448972 (2011 YV15)",
2449074,"449074 (2012 FR62)",
2449089,"449089 (2012 SC22)",
2449107,"449107 (2012 VJ82)",
2450142,"450142 (1998 XN2)",
2450143,"450143 (1999 ED5)",
2450159,"450159 (2000 JJ5)",
2450160,"450160 (2000 RM12)",
2450185,"450185 (2001 WJ2)",
2450203,"450203 (2002 NA31)",
2450237,"450237 (2002 XY38)",
2450238,"450238 (2002 XN40)",
2450259,"450259 (2003 WQ7)",
2450263,"450263 (2003 WD158)",
2450270,"450270 (2004 AE)",
2450293,"450293 (2004 LV3)",
2450300,"450300 (2004 QD14)",
2450648,"450648 (2006 UC63)",
2450649,"450649 (2006 UY64)",
2450779,"450779 (2007 SE11)",
2450894,"450894 (2008 BT18)",
2451003,"451003 (2008 UD1)",
2451124,"451124 (2009 KC3)",
2451157,"451157 (2009 SQ104)",
2451217,"451217 (2009 XE11)",
2451297,"451297 (2010 TK54)",
2451370,"451370 (2011 AK5)",
2451397,"451397 (2011 EZ78)",
2452302,"452302 (1995 YR1)",
2452307,"452307 (1997 XV11)",
2452313,"452313 (1998 XR16)",
2452314,"452314 (1999 LN28)",
2452334,"452334 (2001 LB)",
2452376,"452376 (2002 AC5)",
2452389,"452389 (2002 NW16)",
2452397,"452397 (2002 PD130)",
2452421,"452421 (2002 VX99)",
2452474,"452474 (2004 BG11)",
2452561,"452561 (2005 AB)",
2452639,"452639 (2005 UY6)",
2452807,"452807 (2006 KV89)",
2453100,"453100 (2007 WU4)",
2453309,"453309 (2008 VQ4)",
2453563,"453563 (2010 BB)",
2453687,"453687 (2010 VY190)",
2453707,"453707 (2010 XY72)",
2453729,"453729 (2011 BO24)",
2453778,"453778 (2011 JK)",
2454078,"454078 (2012 VV93)",
2454094,"454094 (2013 BZ45)",
2454100,"454100 (2013 BO73)",
2454101,"454101 (2013 BP73)",
2454177,"454177 (2013 GJ35)",
2454266,"454266 (2014 FM7)",
2455146,"455146 (1993 FS)",
2455148,"455148 (1994 UG)",
2455157,"455157 (1997 YM3)",
2455176,"455176 (1999 VF22)",
2455184,"455184 (2000 ED14)",
2455185,"455185 (2000 EB107)",
2455192,"455192 (2000 QN130)",
2455193,"455193 (2000 RJ60)",
2455199,"455199 (2000 YK4)",
2455213,"455213 (2001 OE84)",
2455299,"455299 (2002 EL6)",
2455322,"455322 (2002 NX18)",
2455407,"455407 (2003 ER)",
2455415,"455415 (2003 GA)",
2455426,"455426 (2003 MT9)",
2455432,"455432 (2003 RP8)",
2455550,"455550 (2004 JO2)",
2455554,"455554 (2004 MQ1)",
2455588,"455588 (2004 RU331)",
2455591,"455591 (2004 SV26)",
2455594,"455594 (2004 SV55)",
2455659,"455659 (2005 BO1)",
2455687,"455687 (2005 EK94)",
2455736,"455736 (2005 HC3)",
2455795,"455795 (2005 SF)",
2455956,"455956 (2005 VE)",
2456051,"456051 (2006 AW)",
2456301,"456301 (2006 SV134)",
2456536,"456536 (2007 BA)",
2456537,"456537 (2007 BG)",
2456618,"456618 (2007 HB)",
2456651,"456651 (2007 RT19)",
2456863,"456863 (2007 VX7)",
2456898,"456898 (2007 VG184)",
2456938,"456938 (2007 YV56)",
2456946,"456946 (2008 AF32)",
2456973,"456973 (2008 BS2)",
2457059,"457059 (2008 EG)",
2457212,"457212 (2008 JR26)",
2457260,"457260 (2008 RY24)",
2457647,"457647 (2009 CZ)",
2457662,"457662 (2009 DZ)",
2457663,"457663 (2009 DN1)",
2457768,"457768 (2009 KN4)",
2457912,"457912 (2009 UW18)",
2458062,"458062 (2009 YO)",
2458116,"458116 (2010 DA)",
2458122,"458122 (2010 EW45)",
2458135,"458135 (2010 GE25)",
2458198,"458198 (2010 RT11)",
2458368,"458368 (2010 WJ)",
2458375,"458375 (2010 WY8)",
2458418,"458418 (2011 AM12)",
2458436,"458436 (2011 AL52)",
2458452,"458452 (2011 BR15)",
2458723,"458723 (2011 KQ12)",
2458732,"458732 (2011 MD5)",
2458745,"458745 (2011 QY37)",
2458964,"458964 (2011 WM2)",
2459046,"459046 (2012 AS10)",
2459119,"459119 (2012 BJ134)",
2459200,"459200 (2012 DK61)",
2459386,"459386 (2012 KJ11)",
2459451,"459451 (2012 WG32)",
2459458,"459458 (2012 XR134)",
2459462,"459462 (2013 AY52)",
2459683,"459683 (2013 MY5)",
2459872,"459872 (2014 EK24)",
2461353,"461353 (1999 LS7)",
2461365,"461365 (2000 JF1)",
2461397,"461397 (2001 SD170)",
2461501,"461501 (2003 FT3)",
2461852,"461852 (2006 GY2)",
2461912,"461912 (2006 RG2)",
2462041,"462041 (2007 DL8)",
2462238,"462238 (2008 CN1)",
2462329,"462329 (2008 JZ30)",
2462550,"462550 (2009 CB3)",
2462559,"462559 (2009 DD1)",
2462736,"462736 (2010 BL2)",
2462775,"462775 (2010 GY6)",
2462959,"462959 (2011 DU)",
2463216,"463216 (2012 DU30)",
2463257,"463257 (2012 GG1)",
2463282,"463282 (2012 HR15)",
2463360,"463360 (2012 TU)",
2463380,"463380 (2013 BY45)",
2463387,"463387 (2013 CT82)",
2463664,"463664 (2014 JY24)",
3012393,"       (1979 XB)",
3005804,"       (1982 YA)",
3005806,"       (1983 LC)",
3092100,"       (1986 NA)",
3092101,"       (1988 NE)",
3001703,"       (1989 AZ)",
3001825,"       (1989 UP)",
3001835,"       (1989 VB)",
3092102,"       (1990 UN)",
3002520,"       (1990 UP)",
3092104,"       (1991 BA)",
3002856,"       (1991 GO)",
3092105,"       (1991 JR)",
3092106,"       (1991 TT)",
3092107,"       (1991 TU)",
3003147,"       (1991 TF3)",
3003148,"       (1991 VA)",
3005816,"       (1991 VG)",
3092109,"       (1991 XA)",
3005818,"       (1991 XB)",
3092110,"       (1992 BC)",
3092111,"       (1992 DU)",
3005831,"       (1992 JD)",
3005851,"       (1992 SZ)",
3092112,"       (1992 YD3)",
3005862,"       (1993 BD2)",
3092113,"       (1993 BD3)",
3005864,"       (1993 BU3)",
3092114,"       (1993 DA)",
3092115,"       (1993 FA1)",
3005871,"       (1993 HC)",
3092117,"       (1993 HP1)",
3005874,"       (1993 KA)",
3005877,"       (1993 KA2)",
3083026,"       (1993 RA)",
3005896,"       (1993 TZ)",
3005897,"       (1993 TQ2)",
3092118,"       (1993 UA)",
3092119,"       (1993 UD)",
3005901,"       (1993 VC)",
3092120,"       (1994 BB)",
3012398,"       (1994 CJ1)",
3012399,"       (1994 EK)",
3092121,"       (1994 EU)",
3005920,"       (1994 ES1)",
3092122,"       (1994 FA)",
3092123,"       (1994 GK)",
3092124,"       (1994 GL)",
3092125,"       (1994 GV)",
3005929,"       (1994 JX)",
3005942,"       (1994 NE)",
3005943,"       (1994 NK)",
3092127,"       (1994 RB)",
3005956,"       (1994 RC)",
3092128,"       (1994 TA2)",
3092129,"       (1994 TE2)",
3092130,"       (1994 US)",
3092131,"       (1994 VH8)",
3005969,"       (1994 WR12)",
3012605,"       (1994 XD)",
3092132,"       (1994 XG)",
3005970,"       (1994 XL1)",
3092133,"       (1994 XM1)",
3092134,"       (1995 BK2)",
3005973,"       (1995 CR)",
3092135,"       (1995 CS)",
3092136,"       (1995 DV1)",
3006176,"       (1995 FF)",
3007932,"       (1995 FG)",
3092137,"       (1995 FJ)",
3092138,"       (1995 FO)",
3007722,"       (1995 FX)",
3006207,"       (1995 HM)",
3007950,"       (1995 LA)",
3007951,"       (1995 LG)",
3092139,"       (1995 NA)",
3092140,"       (1995 SB)",
3092141,"       (1995 SC1)",
3008008,"       (1995 SD1)",
3008064,"       (1995 SA4)",
3008028,"       (1995 UB)",
3092142,"       (1995 UC2)",
3092143,"       (1996 AP1)",
3013064,"       (1996 AW1)",
3008362,"       (1996 AE2)",
3008375,"       (1996 BT)",
3008376,"       (1996 BA1)",
3092144,"       (1996 BG1)",
3092145,"       (1996 FS1)",
3092146,"       (1996 FT1)",
3009003,"       (1996 FQ3)",
3092147,"       (1996 GQ)",
3009014,"       (1996 HN)",
3009026,"       (1996 JA1)",
3009067,"       (1996 KE)",
3009117,"       (1996 MQ)",
3092150,"       (1996 RY3)",
3092151,"       (1996 TC1)",
3092152,"       (1996 TP6)",
3092153,"       (1996 TD9)",
3092154,"       (1996 VB3)",
3092155,"       (1996 VZ4)",
3092156,"       (1996 XZ12)",
3009542,"       (1996 XX14)",
3009717,"       (1997 AC11)",
3009749,"       (1997 CD17)",
3092157,"       (1997 EN23)",
3092158,"       (1997 GK3)",
3013066,"       (1997 GL3)",
3010076,"       (1997 GC32)",
3010077,"       (1997 GD32)",
3092160,"       (1997 MS)",
3010346,"       (1997 PN)",
3010679,"       (1997 QK1)",
3010682,"       (1997 RT)",
3010396,"       (1997 TZ16)",
3092161,"       (1997 TC25)",
3007490,"       (1997 TT25)",
3010734,"       (1997 UR)",
3092162,"       (1997 UZ10)",
3092163,"       (1997 UA11)",
3092164,"       (1997 VG)",
3010817,"       (1997 VM4)",
3092165,"       (1997 VN4)",
3092166,"       (1997 VG6)",
3007574,"       (1997 WQ23)",
3007859,"       (1997 XS2)",
3007642,"       (1997 XE10)",
3092168,"       (1997 YM9)",
3092169,"       (1997 YR10)",
3011167,"       (1998 BY7)",
3007925,"       (1998 BT13)",
3007053,"       (1998 BR26)",
3092170,"       (1998 DX11)",
3092171,"       (1998 DV20)",
3184472,"       (1998 DK36)",
3092172,"       (1998 EE3)",
3011573,"       (1998 EP4)",
3012991,"       (1998 FL5)",
3011965,"       (1998 FM9)",
3012996,"       (1998 FG12)",
3013070,"       (1998 FF14)",
3092173,"       (1998 FJ74)",
3092174,"       (1998 GC1)",
3013024,"       (1998 GL10)",
3092175,"       (1998 HH1)",
3013027,"       (1998 HK1)",
3092176,"       (1998 HM1)",
3092177,"       (1998 HN3)",
